Section,Team,Name,Email,Comments
Section A,Team A15,Bruno Tapia,bruno.tapia29@unsa.edu.pe,
Section A,Team A15,Carla Ugarte,carla.ugarte30@unsa.edu.pe,
Section A,Team A16,Samuel Vega,samuel.vega31@unsa.edu.pe,
Section A,Team A16,Fiorella Zamora,fiorella.zamora32@unsa.edu.pe,
Section A,Team A17,Leonardo Aguirre,leonardo.aguirre33@unsa.edu.pe,
Section A,Team A17,Isabel Benitez,isabel.benitez34@unsa.edu.pe,
Section A,Team A18,Matias Castañeda,matias.castaneda35@unsa.edu.pe,
Section A,Team A18,Jimena Delgado,jimena.delgado36@unsa.edu.pe,
Section A,Team A19,Alvaro Espinoza,alvaro.espinoza37@unsa.edu.pe,
Section A,Team A19,Patricia Farfan,patricia.farfan38@unsa.edu.pe,
Section A,Team A20,Raquel Gutierrez,raquel.gutierrez39@unsa.edu.pe,
Section A,Team A20,Diego Herrera,diego.herrera40@unsa.edu.pe,
Section A,Team A21,Lucio Inga,lucio.inga41@unsa.edu.pe,
Section A,Team A21,Marina Jara,marina.jara42@unsa.edu.pe,
Section A,Team A22,Oscar Lazo,oscar.lazo43@unsa.edu.pe,
Section A,Team A22,Paula Mena,paula.mena44@unsa.edu.pe,
Section A,Team A23,Renzo Nuñez,renzo.nunez45@unsa.edu.pe,
Section A,Team A23,Valeria Olivares,valeria.olivares46@unsa.edu.pe,
Section A,Team A24,Bruno Paredes,bruno.paredes47@unsa.edu.pe,
Section A,Team A24,Carla Quiroz,carla.quiroz48@unsa.edu.pe,
Section A,Team A25,Samuel Rivas,samuel.rivas49@unsa.edu.pe,
Section A,Team A25,Fiorella Suarez,fiorella.suarez50@unsa.edu.pe,
Section A,Team A26,Leonardo Torres,leonardo.torres51@unsa.edu.pe,
Section A,Team A26,Isabel Ulloa,isabel.ulloa52@unsa.edu.pe,
Section A,Team A27,Matias Valdez,matias.valdez53@unsa.edu.pe,
Section A,Team A27,Jimena Wong,jimena.wong54@unsa.edu.pe,
Section A,Team A28,Alvaro Yupanqui,alvaro.yupanqui55@unsa.edu.pe,
Section A,Team A28,Patricia Zambrano,patricia.zambrano56@unsa.edu.pe,
Section A,Team A29,Raquel Acevedo,raquel.acevedo57@unsa.edu.pe,
Section A,Team A29,Diego Barrera,diego.barrera58@unsa.edu.pe,
Section A,Team A30,Lucio Caceres,lucio.caceres59@unsa.edu.pe,
Section A,Team A30,Marina Delgado,marina.delgado60@unsa.edu.pe,
Section B,Team B1,Juan Perez,juan.perez61@unsa.edu.pe,
Section B,Team B1,Ana Torres,ana.torres62@unsa.edu.pe,
Section B,Team B2,Pedro Gomez,pedro.gomez63@unsa.edu.pe,
Section B,Team B2,Lucia Diaz,lucia.diaz64@unsa.edu.pe,
Section B,Team B3,Jose Rojas,jose.rojas65@unsa.edu.pe,
Section B,Team B3,Marina Ruiz,marina.ruiz66@unsa.edu.pe,
Section B,Team B4,Alfredo Salas,alfredo.salas67@unsa.edu.pe,
Section B,Team B4,Patricia Vera,patricia.vera68@unsa.edu.pe,
Section B,Team B5,Martin Castro,martin.castro69@unsa.edu.pe,
Section B,Team B5,Elena Paredes,elena.paredes70@unsa.edu.pe,
Section B,Team B6,Raul Ramos,raul.ramos71@unsa.edu.pe,
Section B,Team B6,Gloria Chavez,gloria.chavez72@unsa.edu.pe,
Section B,Team B7,Victor Flores,victor.flores73@unsa.edu.pe,
Section B,Team B7,Silvia Medina,silvia.medina74@unsa.edu.pe,
Section B,Team B8,Oscar Vargas,oscar.vargas75@unsa.edu.pe,
Section B,Team B8,Paula Molina,paula.molina76@unsa.edu.pe,
Section B,Team B9,Andres Soto,andres.soto77@unsa.edu.pe,
Section B,Team B9,Teresa Luna,teresa.luna78@unsa.edu.pe,
Section B,Team B10,Diego Peña,diego.pena79@unsa.edu.pe,
Section B,Team B10,Laura Campos,laura.campos80@unsa.edu.pe,
Section B,Team B11,Manuel Bravo,manuel.bravo81@unsa.edu.pe,
Section B,Team B11,Julia Cabrera,julia.cabrera82@unsa.edu.pe,
Section B,Team B12,Alonso Cordero,alonso.cordero83@unsa.edu.pe,
Section B,Team B12,Daniela Figueroa,daniela.figueroa84@unsa.edu.pe,
Section B,Team B13,Esteban Huaman,esteban.huaman85@unsa.edu.pe,
Section B,Team B13,Marisol Quispe,marisol.quispe86@unsa.edu.pe,
Section B,Team B14,Renato Ramos,renato.ramos87@unsa.edu.pe,
Section B,Team B14,Valeria Salazar,valeria.salazar88@unsa.edu.pe,
Section B,Team B15,Bruno Tapia,bruno.tapia89@unsa.edu.pe,
Section B,Team B15,Carla Ugarte,carla.ugarte90@unsa.edu.pe,
Section B,Team B16,Samuel Vega,samuel.vega91@unsa.edu.pe,
Section B,Team B16,Fiorella Zamora,fiorella.zamora92@unsa.edu.pe,
Section B,Team B17,Leonardo Aguirre,leonardo.aguirre93@unsa.edu.pe,
Section B,Team B17,Isabel Benitez,isabel.benitez94@unsa.edu.pe,
Section B,Team B18,Matias Castañeda,matias.castaneda95@unsa.edu.pe,
Section B,Team B18,Jimena Delgado,jimena.delgado96@unsa.edu.pe,
Section B,Team B19,Alvaro Espinoza,alvaro.espinoza97@unsa.edu.pe,
Section B,Team B19,Patricia Farfan,patricia.farfan98@unsa.edu.pe,
Section B,Team B20,Raquel Gutierrez,raquel.gutierrez99@unsa.edu.pe,
Section B,Team B20,Diego Herrera,diego.herrera100@unsa.edu.pe,
Section B,Team B21,Lucio Inga,lucio.inga101@unsa.edu.pe,
Section B,Team B21,Marina Jara,marina.jara102@unsa.edu.pe,
Section B,Team B22,Oscar Lazo,oscar.lazo103@unsa.edu.pe,
Section B,Team B22,Paula Mena,paula.mena104@unsa.edu.pe,
Section B,Team B23,Renzo Nuñez,renzo.nunez105@unsa.edu.pe,
Section B,Team B23,Valeria Olivares,valeria.olivares106@unsa.edu.pe,
Section B,Team B24,Bruno Paredes,bruno.paredes107@unsa.edu.pe,
Section B,Team B24,Carla Quiroz,carla.quiroz108@unsa.edu.pe,
Section B,Team B25,Samuel Rivas,samuel.rivas109@unsa.edu.pe,
Section B,Team B25,Fiorella Suarez,fiorella.suarez110@unsa.edu.pe,
Section B,Team B26,Leonardo Torres,leonardo.torres111@unsa.edu.pe,
Section B,Team B26,Isabel Ulloa,isabel.ulloa112@unsa.edu.pe,
Section B,Team B27,Matias Valdez,matias.valdez113@unsa.edu.pe,
Section B,Team B27,Jimena Wong,jimena.wong114@unsa.edu.pe,
Section B,Team B28,Alvaro Yupanqui,alvaro.yupanqui115@unsa.edu.pe,
Section B,Team B28,Patricia Zambrano,patricia.zambrano116@unsa.edu.pe,
Section B,Team B29,Raquel Acevedo,raquel.acevedo117@unsa.edu.pe,
Section B,Team B29,Diego Barrera,diego.barrera118@unsa.edu.pe,
Section B,Team B30,Lucio Caceres,lucio.caceres119@unsa.edu.pe,
Section B,Team B30,Marina Delgado,marina.delgado120@unsa.edu.pe,
